SINGLE_LINE_ADDRESS,POSTCODE,STREET_NAME
"PACEC, SECOND FLOOR, 49-53 REGENT STREET, CAMBRIDGE, CB2 1AB","CB2 1AB","REGENT STREET"
"FIRST FLOOR, 47-53 REGENT STREET, CAMBRIDGE, CB2 1AB","CB2 1AB","REGENT STREET"
"BUBBLE LTD, SUITE 1, RAVENSCROFT HOUSE, 59-61 REGENT STREET, CAMBRIDGE, CB2 1AB","CB2 1AB","REGENT STREET"
"EDE & RAVENSCROFT, SUITE 2, RAVENSCROFT HOUSE, 59-61 REGENT STREET, CAMBRIDGE, CB2 1AB","CB2 1AB","REGENT STREET"
"CAMBRIDGE NUTRACEUTICALS LTD, SUITE 3, RAVENSCROFT HOUSE, 59-61 REGENT STREET, CAMBRIDGE, CB2 1AB","CB2 1AB","REGENT STREET"
"CAMBRIDGE NUTRACEUTICALS LTD, SUITE 4, RAVENSCROFT HOUSE, 59-61 REGENT STREET, CAMBRIDGE, CB2 1AB","CB2 1AB","REGENT STREET"
"AVAIL HEALTHCARE LTD, SUITE 5, RAVENSCROFT HOUSE, 59-61 REGENT STREET, CAMBRIDGE, CB2 1AB","CB2 1AB","REGENT STREET"
"CHARLES STANLEY LLP, SUITE 6, RAVENSCROFT HOUSE, 59-61 REGENT STREET, CAMBRIDGE, CB2 1AB","CB2 1AB","REGENT STREET"
"NOODLE REPUBLIC, 67 REGENT STREET, CAMBRIDGE, CB2 1AB","CB2 1AB","REGENT STREET"
"CAR PARKING SPACE AT, RAVENSCROFT HOUSE, 59-61 REGENT STREET, CAMBRIDGE, CB2 1AB","CB2 1AB","REGENT STREET"
"MARUI, 63 REGENT STREET, CAMBRIDGE, CB2 1AB","CB2 1AB","REGENT STREET"
"69 REGENT STREET, CAMBRIDGE, CB2 1AB","CB2 1AB","REGENT STREET"
"55-57 REGENT STREET, CAMBRIDGE, CB2 1AB","CB2 1AB","REGENT STREET"
"BASEMENT, 35 REGENT STREET, CAMBRIDGE, CB2 1AB","CB2 1AB","REGENT STREET"
"S O S CHILDRENS VILLAGES UK, RAVENSCROFT HOUSE, 59-61 REGENT STREET, CAMBRIDGE, CB2 1AB","CB2 1AB","REGENT STREET"
"FLAT 4, 49-53 REGENT STREET, CAMBRIDGE, CB2 1AB","CB2 1AB","REGENT STREET"
"FLAT 3, 49-53 REGENT STREET, CAMBRIDGE, CB2 1AB","CB2 1AB","REGENT STREET"
"FLAT 2, 49-53 REGENT STREET, CAMBRIDGE, CB2 1AB","CB2 1AB","REGENT STREET"
